"id","word","jyutping","meaning","english","example","sentenceJyutping","translation","sentenceEnglish","category","difficulty","level","femaleAudio","maleAudio","femaleSentenceAudio","maleSentenceAudio"
"15","等陣","dang2 zan6","等一下","wait a moment","你等陣先。","","你先等一下。","Wait a moment.","日常交流","1","入门","015-female.mp3","015-male.mp3","",""
"16","幫手","bong1 sau2","帮忙","to help","你可唔可以幫手？","","你可以帮忙吗？","Can you help?","日常交流","1","入门","016-female.mp3","016-male.mp3","",""
"17","食飯","sik6 faan6","吃饭","eat; have a meal","我哋一齊去食飯啦。","","我们一起去吃饭吧。","Let's go eat together.","饮食","1","入门","017-female.mp3","017-male.mp3","",""
"18","飲水","jam2 seoi2","喝水","drink water","記得飲多啲水。","","记得多喝水。","Remember to drink more water.","饮食","1","入门","018-female.mp3","018-male.mp3","",""
"19","好食","hou2 sik6","好吃","delicious; tasty","呢碗麵好好食。","","这碗面很好吃。","This bowl of noodles is delicious.","饮食","1","入门","019-female.mp3","019-male.mp3","",""
"20","餐廳","caan1 teng1","餐厅","restaurant","嗰間餐廳喺前面。","","那家餐厅在前面。","The restaurant is ahead.","饮食","1","入门","020-female.mp3","020-male.mp3","",""
"21","埋單","maai4 daan1","结账","pay the bill","唔該，埋單。","","麻烦结账。","The bill, please.","饮食","1","入门","021-female.mp3","021-male.mp3","",""
"22","幾多錢","gei2 do1 cin2","多少钱","how much","呢個幾多錢？","","这个多少钱？","How much is this?","饮食","1","入门","022-female.mp3","022-male.mp3","",""
"23","一杯","jat1 bui1","一杯","a cup; a glass","我要一杯奶茶。","","我要一杯奶茶。","I would like a cup of milk tea.","饮食","1","入门","023-female.mp3","023-male.mp3","",""
"24","屋企","uk1 kei2","家","home","我而家返屋企。","","我现在回家。","I am going home now.","时间与地点","1","入门","024-female.mp3","024-male.mp3","",""
"25","洗手間","sai2 sau2 gaan1","洗手间","restroom; washroom","洗手間喺邊度？","","洗手间在哪里？","Where is the restroom?","时间与地点","1","入门","025-female.mp3","025-male.mp3","",""
"26","邊度","bin1 dou6","哪里","where","你想去邊度？","","你想去哪里？","Where do you want to go?","时间与地点","1","入门","026-female.mp3","026-male.mp3","",""
"27","今日","gam1 jat6","今天","today","今日天氣幾好。","","今天天气不错。","The weather is quite nice today.","时间与地点","1","入门","027-female.mp3","027-male.mp3","",""
"28","聽日","ting1 jat6","明天","tomorrow","我哋聽日見。","","我们明天见。","See you tomorrow.","时间与地点","1","入门","028-female.mp3","028-male.mp3","",""
"29","而家","ji4 gaa1","现在","now","你而家得唔得閒？","","你现在有空吗？","Are you free now?","时间与地点","1","入门","029-female.mp3","029-male.mp3","",""
"30","幾點","gei2 dim2","几点","what time","而家幾點？","","现在几点？","What time is it now?","时间与地点","1","入门","030-female.mp3","030-male.mp3","",""
"31","歡迎","fun1 jing4","欢迎","welcome","歡迎你嚟香港。","","欢迎你来香港。","Welcome to Hong Kong.","问候与礼貌","1","入门","031-female.mp3","031-male.mp3","",""
"32","唔使客氣","m4 sai2 haak3 hei3","不用客气","you're welcome","唔使客氣，大家朋友。","","不用客气，大家是朋友。","You're welcome. We are friends.","问候与礼貌","1","入门","032-female.mp3","032-male.mp3","",""
"33","可以","ho2 ji5","可以","can; may","我可以坐呢度嗎？","","我可以坐这里吗？","May I sit here?","日常交流","1","入门","033-female.mp3","033-male.mp3","",""
"34","得","dak1","可以；行","okay; can do","聽日三點得唔得？","","明天三点可以吗？","Is three tomorrow okay?","日常交流","1","入门","034-female.mp3","034-male.mp3","",""
"35","早餐","zou2 caan1","早餐","breakfast","我朝早食早餐。","","我早上吃早餐。","I eat breakfast in the morning.","饮食","1","入门","035-female.mp3","035-male.mp3","",""
"36","茶","caa4","茶","tea","我想飲杯茶。","","我想喝一杯茶。","I would like a cup of tea.","饮食","1","入门","036-female.mp3","036-male.mp3","",""
"37","咖啡","gaa3 fe1","咖啡","coffee","呢杯咖啡好香。","","这杯咖啡很香。","This coffee smells wonderful.","饮食","1","入门","037-female.mp3","037-male.mp3","",""
"38","尋日","cam4 jat6","昨天","yesterday","我尋日冇返工。","","我昨天没有上班。","I did not go to work yesterday.","时间与地点","1","入门","038-female.mp3","038-male.mp3","",""
"39","朝早","ziu1 zou2","早上","morning","我朝早七點起身。","","我早上七点起床。","I get up at seven in the morning.","时间与地点","1","入门","039-female.mp3","039-male.mp3","",""
"40","夜晚","je6 maan5","晚上","evening; night","夜晚天氣比較涼。","","晚上天气比较凉。","The weather is cooler at night.","时间与地点","1","入门","040-female.mp3","040-male.mp3","",""
"41","爸爸","baa4 baa1","爸爸","father; dad","我爸爸鍾意飲茶。","","我爸爸喜欢喝茶。","My dad likes drinking tea.","家庭与人物","1","入门","041-female.mp3","041-male.mp3","",""
"42","媽媽","maa4 maa1","妈妈","mother; mom","我媽媽今日放假。","","我妈妈今天休假。","My mom is off today.","家庭与人物","1","入门","042-female.mp3","042-male.mp3","",""
"43","哥哥","go1 go1","哥哥","older brother","我哥哥高過我。","","我哥哥比我高。","My older brother is taller than me.","家庭与人物","1","入门","043-female.mp3","043-male.mp3","",""
"44","家姐","gaa1 ze1","姐姐","older sister","我家姐喺餐廳做嘢。","","我姐姐在餐厅工作。","My older sister works in a restaurant.","家庭与人物","1","入门","044-female.mp3","044-male.mp3","",""
"45","細佬","sai3 lou2","弟弟","younger brother","我細佬仲讀緊書。","","我弟弟还在读书。","My younger brother is still studying.","家庭与人物","1","入门","045-female.mp3","045-male.mp3","",""
"46","細妹","sai3 mui2","妹妹","younger sister","我細妹好鍾意唱歌。","","我妹妹很喜欢唱歌。","My younger sister loves singing.","家庭与人物","1","入门","046-female.mp3","046-male.mp3","",""
"47","朋友","pang4 jau5","朋友","friend","佢係我嘅好朋友。","","他是我的好朋友。","He is my good friend.","家庭与人物","1","入门","047-female.mp3","047-male.mp3","",""
"48","老師","lou5 si1","老师","teacher","老師講得好清楚。","","老师讲得很清楚。","The teacher explains things clearly.","家庭与人物","1","入门","048-female.mp3","048-male.mp3","",""
"49","同學","tung4 hok6","同学","classmate","我同同學一齊溫書。","","我和同学一起复习。","I study with my classmate.","家庭与人物","1","入门","049-female.mp3","049-male.mp3","",""
"50","小朋友","siu2 pang4 jau5","小朋友","child; kid","嗰個小朋友好可愛。","","那个小朋友很可爱。","That child is very cute.","家庭与人物","1","入门","050-female.mp3","050-male.mp3","",""
"51","一","jat1","一","one","我要一杯水。","","我要一杯水。","I want one glass of water.","数字与数量","1","入门","051-female.mp3","051-male.mp3","",""
"52","二","ji6","二","two","我有兩個朋友。","","我有两个朋友。","I have two friends.","数字与数量","1","入门","052-female.mp3","052-male.mp3","",""
"53","三","saam1","三","three","我買咗三個麵包。","","我买了三个面包。","I bought three loaves of bread.","数字与数量","1","入门","053-female.mp3","053-male.mp3","",""
"54","四","sei3","四","four","張枱有四張凳。","","桌子旁有四把椅子。","There are four chairs at the table.","数字与数量","1","入门","054-female.mp3","054-male.mp3","",""
"55","五","ng5","五","five","我五點放工。","","我五点下班。","I finish work at five.","数字与数量","1","入门","055-female.mp3","055-male.mp3","",""
"56","十","sap6","十","ten","呢度有十個人。","","这里有十个人。","There are ten people here.","数字与数量","1","入门","056-female.mp3","056-male.mp3","",""
"57","百","baak3","百","hundred","呢件衫一百蚊。","","这件衣服一百元。","This shirt costs one hundred dollars.","数字与数量","1","入门","057-female.mp3","057-male.mp3","",""
"58","多","do1","多","many; much","今日好多人。","","今天有很多人。","There are many people today.","数字与数量","1","入门","058-female.mp3","058-male.mp3","",""
"59","少","siu2","少","few; little","落少啲糖，唔該。","","请少放一点糖。","Please use less sugar.","数字与数量","1","入门","059-female.mp3","059-male.mp3","",""
"60","全部","cyun4 bou6","全部","all; everything","我全部都要。","","我全部都要。","I want all of them.","数字与数量","1","入门","060-female.mp3","060-male.mp3","",""
"61","買","maai5","买","buy","我想買件衫。","","我想买一件衣服。","I want to buy a shirt.","购物","1","入门","061-female.mp3","061-male.mp3","",""
"62","賣","maai6","卖","sell","呢間舖頭賣生果。","","这家店卖水果。","This shop sells fruit.","购物","1","入门","062-female.mp3","062-male.mp3","",""
"63","平","peng4","便宜","cheap; inexpensive","呢個幾平喎。","","这个很便宜。","This is quite cheap.","购物","1","入门","063-female.mp3","063-male.mp3","",""
"64","貴","gwai3","贵","expensive","嗰對鞋太貴。","","那双鞋太贵了。","Those shoes are too expensive.","购物","1","入门","064-female.mp3","064-male.mp3","",""
"65","大","daai6","大","big; large","我要大杯。","","我要大杯的。","I want the large size.","购物","1","入门","065-female.mp3","065-male.mp3","",""
"66","細","sai3","小","small","有冇細一個碼？","","有小一号的吗？","Do you have a smaller size?","购物","1","入门","066-female.mp3","066-male.mp3","",""
"67","呢個","ni1 go3","这个","this one","呢個係我嘅。","","这个是我的。","This one is mine.","购物","1","入门","067-female.mp3","067-male.mp3","",""
"68","嗰個","go2 go3","那个","that one","我想睇嗰個。","","我想看那个。","I want to see that one.","购物","1","入门","068-female.mp3","068-male.mp3","",""
"69","要","jiu3","要","want; need","我要兩個。","","我要两个。","I want two.","购物","1","入门","069-female.mp3","069-male.mp3","",""
"70","唔要","m4 jiu3","不要","do not want","膠袋唔要啦。","","不要塑料袋了。","I do not need a plastic bag.","购物","1","入门","070-female.mp3","070-male.mp3","",""
"71","巴士","baa1 si2","公共汽车","bus","我搭巴士返工。","","我坐公交车上班。","I take the bus to work.","交通","1","入门","071-female.mp3","071-male.mp3","",""
"72","港鐵","gong2 tit3","港铁","MTR; metro","搭港鐵快啲。","","坐港铁快一点。","The MTR is faster.","交通","1","入门","072-female.mp3","072-male.mp3","",""
"73","的士","dik1 si2","出租车","taxi","我哋搭的士去。","","我们坐出租车去。","Let's go by taxi.","交通","1","入门","073-female.mp3","073-male.mp3","",""
"74","車","ce1","车","car; vehicle","架車喺出面。","","车在外面。","The car is outside.","交通","1","入门","074-female.mp3","074-male.mp3","",""
"75","站","zaam6","站","station; stop","下一站落車。","","下一站下车。","Get off at the next stop.","交通","1","入门","075-female.mp3","075-male.mp3","",""
"76","上車","soeng5 ce1","上车","get on","快啲上車啦。","","快点上车吧。","Get on quickly.","交通","1","入门","076-female.mp3","076-male.mp3","",""
"77","落車","lok6 ce1","下车","get off","我喺前面落車。","","我在前面下车。","I will get off ahead.","交通","1","入门","077-female.mp3","077-male.mp3","",""
"78","行路","haang4 lou6","走路","walk","我每日行路返屋企。","","我每天走路回家。","I walk home every day.","交通","1","入门","078-female.mp3","078-male.mp3","",""
"79","左邊","zo2 bin1","左边","left side","洗手間喺左邊。","","洗手间在左边。","The restroom is on the left.","交通","1","入门","079-female.mp3","079-male.mp3","",""
"80","右邊","jau6 bin1","右边","right side","餐廳喺右邊。","","餐厅在右边。","The restaurant is on the right.","交通","1","入门","080-female.mp3","080-male.mp3","",""
"81","頭","tau4","头","head","我個頭有啲痛。","","我的头有点痛。","My head hurts a little.","健康与身体","1","入门","081-female.mp3","081-male.mp3","",""
"82","手","sau2","手","hand","記得洗手。","","记得洗手。","Remember to wash your hands.","健康与身体","1","入门","082-female.mp3","082-male.mp3","",""
"83","眼","ngaan5","眼睛","eye","我隻眼唔舒服。","","我的眼睛不舒服。","My eye feels uncomfortable.","健康与身体","1","入门","083-female.mp3","083-male.mp3","",""
"84","痛","tung3","痛","hurt; painful","你邊度痛？","","你哪里痛？","Where does it hurt?","健康与身体","1","入门","084-female.mp3","084-male.mp3","",""
"85","唔舒服","m4 syu1 fuk6","不舒服","feel unwell","我今日有啲唔舒服。","","我今天有点不舒服。","I feel a little unwell today.","健康与身体","1","入门","085-female.mp3","085-male.mp3","",""
"86","醫生","ji1 sang1","医生","doctor","我想睇醫生。","","我想看医生。","I want to see a doctor.","健康与身体","1","入门","086-female.mp3","086-male.mp3","",""
"87","醫院","ji1 jyun2","医院","hospital","醫院喺前面。","","医院在前面。","The hospital is ahead.","健康与身体","1","入门","087-female.mp3","087-male.mp3","",""
"88","藥","joek6","药","medicine","記得準時食藥。","","记得按时吃药。","Remember to take your medicine on time.","健康与身体","1","入门","088-female.mp3","088-male.mp3","",""
"89","休息","jau1 sik1","休息","rest","你要休息多啲。","","你要多休息。","You need more rest.","健康与身体","1","入门","089-female.mp3","089-male.mp3","",""
"90","小心","siu2 sam1","小心","be careful","落雨路滑，小心啲。","","下雨路滑，小心一点。","The road is slippery. Be careful.","健康与身体","1","入门","090-female.mp3","090-male.mp3","",""
"91","天氣","tin1 hei3","天气","weather","今日天氣幾好。","","今天天气不错。","The weather is quite nice today.","天气与感受","1","入门","091-female.mp3","091-male.mp3","",""
"92","熱","jit6","热","hot","今日真係好熱。","","今天真的很热。","It is really hot today.","天气与感受","1","入门","092-female.mp3","092-male.mp3","",""
"93","凍","dung3","冷","cold","出面好凍。","","外面很冷。","It is cold outside.","天气与感受","1","入门","093-female.mp3","093-male.mp3","",""
"94","落雨","lok6 jyu5","下雨","rain","出面落緊雨。","","外面正在下雨。","It is raining outside.","天气与感受","1","入门","094-female.mp3","094-male.mp3","",""
"95","開心","hoi1 sam1","开心","happy","見到你好開心。","","见到你很开心。","I am happy to see you.","天气与感受","1","入门","095-female.mp3","095-male.mp3","",""
"96","唔開心","m4 hoi1 sam1","不开心","unhappy","佢今日有啲唔開心。","","他今天有点不开心。","He is a little unhappy today.","天气与感受","1","入门","096-female.mp3","096-male.mp3","",""
"97","攰","gui6","累","tired","我行到好攰。","","我走得很累。","I am tired from walking.","天气与感受","1","入门","097-female.mp3","097-male.mp3","",""
"98","驚","geng1","害怕","afraid; scared","唔使驚。","","不用害怕。","Do not be afraid.","天气与感受","1","入门","098-female.mp3","098-male.mp3","",""
"99","鍾意","zung1 ji3","喜欢","like","我鍾意食點心。","","我喜欢吃点心。","I like eating dim sum.","天气与感受","1","入门","099-female.mp3","099-male.mp3","",""
"100","唔鍾意","m4 zung1 ji3","不喜欢","dislike","我唔鍾意落雨。","","我不喜欢下雨。","I do not like rainy weather.","天气与感受","1","入门","100-female.mp3","100-male.mp3","",""
"101","返工","faan1 gung1","上班","go to work","我每日搭港鐵返工。","ngo5 mui5 jat6 daap3 gong2 tit3 faan1 gung1","我每天坐港铁上班。","I take the MTR to work every day.","工作与学习","2","初级","101-female.mp3","101-male.mp3","101-sentence-female.mp3","101-sentence-male.mp3"
"102","放工","fong3 gung1","下班","finish work","放工時間港鐵好多人。","fong3 gung1 si4 gaan3 gong2 tit3 hou2 do1 jan4","下班时间港铁有很多人。","The MTR is very crowded after work.","工作与学习","2","初级","102-female.mp3","102-male.mp3","102-sentence-female.mp3","102-sentence-male.mp3"
"103","開會","hoi1 wui2","开会","have a meeting","我喺中環開完會先去食飯。","ngo5 hai2 zung1 waan4 hoi1 jyun4 wui2 sin1 heoi3 sik6 faan6","我在中环开完会才去吃饭。","I will eat after my meeting in Central.","工作与学习","2","初级","103-female.mp3","103-male.mp3","103-sentence-female.mp3","103-sentence-male.mp3"
"104","公司","gung1 si1","公司","company","間公司喺觀塘一座工廈入面。","gaan1 gung1 si1 hai2 gun1 tong4 jat1 zo6 gung1 haa6 jap6 min6","那家公司在观塘一座工业大厦里。","The company is in an industrial building in Kwun Tong.","工作与学习","2","初级","104-female.mp3","104-male.mp3","104-sentence-female.mp3","104-sentence-male.mp3"
"105","辦公室","baan6 gung1 sat1","办公室","office","辦公室望到維港。","baan6 gung1 sat1 mong6 dou2 wai4 gong2","从办公室可以看到维港。","The office overlooks Victoria Harbour.","工作与学习","2","初级","105-female.mp3","105-male.mp3","105-sentence-female.mp3","105-sentence-male.mp3"
"106","功課","gung1 fo3","作业","homework","我去自修室做功課。","ngo5 heoi3 zi6 sau1 sat1 zou6 gung1 fo3","我去自习室做作业。","I go to the study room to do my homework.","工作与学习","2","初级","106-female.mp3","106-male.mp3","106-sentence-female.mp3","106-sentence-male.mp3"
"107","考試","haau2 si3","考试","exam","考試之前我去圖書館溫書。","haau2 si3 zi1 cin4 ngo5 heoi3 tou4 syu1 gun2 wan1 syu1","考试前我去图书馆复习。","I study at the library before the exam.","工作与学习","2","初级","107-female.mp3","107-male.mp3","107-sentence-female.mp3","107-sentence-male.mp3"
"108","溫書","wan1 syu1","复习","study; revise","我哋去圖書館溫書啦。","ngo5 dei6 heoi3 tou4 syu1 gun2 wan1 syu1 laa1","我们去图书馆复习吧。","Let’s study at the library.","工作与学习","2","初级","108-female.mp3","108-male.mp3","108-sentence-female.mp3","108-sentence-male.mp3"
"109","問題","man6 tai4","问题","question; problem","張八達通有問題，入唔到閘。","zoeng1 baat3 daat6 tung1 jau5 man6 tai4 jap6 m4 dou2 zaap6","这张八达通有问题，进不了闸。","There is a problem with the Octopus card, so it cannot pass the gate.","工作与学习","2","初级","109-female.mp3","109-male.mp3","109-sentence-female.mp3","109-sentence-male.mp3"
"110","答案","daap3 on3","答案","answer","老師喺課堂度講咗答案。","lou5 si1 hai2 fo3 tong4 dou6 gong2 zo2 daap3 on3","老师在课堂上讲了答案。","The teacher gave the answer in class.","工作与学习","2","初级","110-female.mp3","110-male.mp3","110-sentence-female.mp3","110-sentence-male.mp3"
"111","起身","hei2 san1","起床","get up","我一早起身去茶餐廳食早餐。","ngo5 jat1 zou2 hei2 san1 heoi3 caa4 caan1 teng1 sik6 zou2 caan1","我一早起床去茶餐厅吃早餐。","I get up early and have breakfast at a cha chaan teng.","居家生活","2","初级","111-female.mp3","111-male.mp3","111-sentence-female.mp3","111-sentence-male.mp3"
"112","瞓覺","fan3 gaau3","睡觉","sleep","出面仲好嘈，我瞓唔到覺。","ceot1 min6 zung6 hou2 cou4 ngo5 fan3 m4 dou2 gaau3","外面还很吵，我睡不着。","It is still noisy outside, so I cannot sleep.","居家生活","2","初级","112-female.mp3","112-male.mp3","112-sentence-female.mp3","112-sentence-male.mp3"
"113","沖涼","cung1 loeng4","洗澡","take a shower","行完山成身汗，要快啲沖涼。","haang4 jyun4 saan1 seng4 san1 hon6 jiu3 faai3 di1 cung1 loeng4","爬完山全身是汗，要赶快洗澡。","I am sweaty after hiking, so I need a quick shower.","居家生活","2","初级","113-female.mp3","113-male.mp3","113-sentence-female.mp3","113-sentence-male.mp3"
"114","洗衫","sai2 saam1","洗衣服","do laundry","今日落雨，洗完衫好難乾。","gam1 jat6 lok6 jyu5 sai2 jyun4 saam1 hou2 naan4 gon1","今天下雨，洗完的衣服很难干。","It is rainy today, so the laundry is hard to dry.","居家生活","2","初级","114-female.mp3","114-male.mp3","114-sentence-female.mp3","114-sentence-male.mp3"
"115","煮飯","zyu2 faan6","做饭","cook","街市啲餸好新鮮，我買返去煮飯。","gaai1 si5 di1 sung3 hou2 san1 sin1 ngo5 maai5 faan1 heoi3 zyu2 faan6","街市的菜很新鲜，我买回去做饭。","The produce at the wet market is fresh, so I will buy some to cook.","居家生活","2","初级","115-female.mp3","115-male.mp3","115-sentence-female.mp3","115-sentence-male.mp3"
"116","清潔","cing1 git3","清洁","clean","大廈聽朝會清潔水缸。","daai6 haa6 ting1 ziu1 wui5 cing1 git3 seoi2 gong1","大厦明早会清洁水箱。","The building will clean its water tank tomorrow morning.","居家生活","2","初级","116-female.mp3","116-male.mp3","116-sentence-female.mp3","116-sentence-male.mp3"
"117","開門","hoi1 mun4","开门","open the door","港鐵一開門，大家先落後上。","gong2 tit3 jat1 hoi1 mun4 daai6 gaa1 sin1 lok6 hau6 soeng5","港铁一开门，大家先下后上。","When the MTR doors open, let passengers exit before boarding.","居家生活","2","初级","117-female.mp3","117-male.mp3","117-sentence-female.mp3","117-sentence-male.mp3"
"118","關門","gwaan1 mun4","关门","close the door","小巴就嚟開車，麻煩關門。","siu2 baa1 zau6 lai4 hoi1 ce1 maa4 faan4 gwaan1 mun4","小巴快开车了，麻烦关门。","The minibus is about to leave; please close the door.","居家生活","2","初级","118-female.mp3","118-male.mp3","118-sentence-female.mp3","118-sentence-male.mp3"
"119","雪櫃","syut3 gwai6","冰箱","refrigerator","食唔晒嘅外賣要放入雪櫃。","sik6 m4 saai3 ge3 ngoi6 maai6 jiu3 fong3 jap6 syut3 gwai6","吃不完的外卖要放进冰箱。","Put the leftover takeaway food in the refrigerator.","居家生活","2","初级","119-female.mp3","119-male.mp3","119-sentence-female.mp3","119-sentence-male.mp3"
"120","冷氣","laang5 hei3","空调","air conditioning","商場啲冷氣凍到要着外套。","soeng1 coeng4 di1 laang5 hei3 dung3 dou3 jiu3 zoek3 ngoi6 tou3","商场的空调冷得要穿外套。","The mall’s air conditioning is so cold that you need a jacket.","居家生活","2","初级","120-female.mp3","120-male.mp3","120-sentence-female.mp3","120-sentence-male.mp3"
"121","點心","dim2 sam1","点心","dim sum","我哋去酒樓叫幾籠點心。","ngo5 dei6 heoi3 zau2 lau4 giu3 gei2 lung4 dim2 sam1","我们去酒楼点几笼点心。","Let’s order a few baskets of dim sum at the restaurant.","餐饮进阶","2","初级","121-female.mp3","121-male.mp3","121-sentence-female.mp3","121-sentence-male.mp3"
"122","奶茶","naai5 caa4","奶茶","milk tea","唔該，一杯凍奶茶，少甜。","m4 goi1 jat1 bui1 dung3 naai5 caa4 siu2 tim4","麻烦来一杯冻奶茶，少甜。","One iced milk tea with less sugar, please.","餐饮进阶","2","初级","122-female.mp3","122-male.mp3","122-sentence-female.mp3","122-sentence-male.mp3"
"123","菠蘿包","bo1 lo4 baau1","菠萝包","pineapple bun","我要一個熱辣辣嘅菠蘿油。","ngo5 jiu3 jat1 go3 jit6 laat6 laat6 ge3 bo1 lo4 jau4","我要一个热腾腾的菠萝油。","I would like a hot pineapple bun with butter.","餐饮进阶","2","初级","123-female.mp3","123-male.mp3","123-sentence-female.mp3","123-sentence-male.mp3"
"124","飯","faan6","饭；米饭","rice; meal","碟頭飯包一杯飲品。","dip6 tau4 faan6 baau1 jat1 bui1 jam2 ban2","碟头饭包含一杯饮料。","The rice plate comes with a drink.","餐饮进阶","2","初级","124-female.mp3","124-male.mp3","124-sentence-female.mp3","124-sentence-male.mp3"
"125","麵","min6","面条","noodles","唔該，雲吞麵走葱。","m4 goi1 wan4 tan1 min6 zau2 cung1","麻烦来一碗云吞面，不要葱。","Wonton noodles without spring onion, please.","餐饮进阶","2","初级","125-female.mp3","125-male.mp3","125-sentence-female.mp3","125-sentence-male.mp3"
"126","雞","gai1","鸡；鸡肉","chicken","海南雞飯要少飯，唔該。","hoi2 naam4 gai1 faan6 jiu3 siu2 faan6 m4 goi1","海南鸡饭少饭，谢谢。","Hainanese chicken rice with less rice, please.","餐饮进阶","2","初级","126-female.mp3","126-male.mp3","126-sentence-female.mp3","126-sentence-male.mp3"
"127","豬肉","zyu1 juk6","猪肉","pork","叉燒係香港常見嘅豬肉食品。","caa1 siu1 hai6 hoeng1 gong2 soeng4 gin3 ge3 zyu1 juk6 sik6 ban2","叉烧是香港常见的猪肉食品。","Char siu is a common pork dish in Hong Kong.","餐饮进阶","2","初级","127-female.mp3","127-male.mp3","127-sentence-female.mp3","127-sentence-male.mp3"
"128","魚","jyu4","鱼","fish","街市今日啲魚好新鮮。","gaai1 si5 gam1 jat6 di1 jyu4 hou2 san1 sin1","街市今天的鱼很新鲜。","The fish at the wet market is very fresh today.","餐饮进阶","2","初级","128-female.mp3","128-male.mp3","128-sentence-female.mp3","128-sentence-male.mp3"
"129","甜","tim4","甜","sweet","杯奶茶唔該少甜。","bui1 naai5 caa4 m4 goi1 siu2 tim4","这杯奶茶麻烦少甜。","Please make the milk tea less sweet.","餐饮进阶","2","初级","129-female.mp3","129-male.mp3","129-sentence-female.mp3","129-sentence-male.mp3"
"130","辣","laat6","辣","spicy","避風塘炒蟹有少少辣。","bei6 fung1 tong4 caau2 haai5 jau5 siu2 siu2 laat6","避风塘炒蟹有一点辣。","Typhoon shelter crab is a little spicy.","餐饮进阶","2","初级","130-female.mp3","130-male.mp3","130-sentence-female.mp3","130-sentence-male.mp3"
"131","商場","soeng1 coeng4","商场","shopping mall","港鐵站上面就係商場。","gong2 tit3 zaam6 soeng6 min6 zau6 hai6 soeng1 coeng4","港铁站上面就是商场。","The shopping mall is right above the MTR station.","城市地点","2","初级","131-female.mp3","131-male.mp3","131-sentence-female.mp3","131-sentence-male.mp3"
"132","街市","gaai1 si5","菜市场；街市","wet market","朝早嘅街市特別熱鬧。","ziu1 zou2 ge3 gaai1 si5 dak6 bit6 jit6 naau6","早上的街市特别热闹。","The wet market is especially lively in the morning.","城市地点","2","初级","132-female.mp3","132-male.mp3","132-sentence-female.mp3","132-sentence-male.mp3"
"133","公園","gung1 jyun2","公园","park","維園朝早有好多人做運動。","wai4 jyun2 ziu1 zou2 jau5 hou2 do1 jan4 zou6 wan6 dung6","维园早上有很多人运动。","Many people exercise in Victoria Park in the morning.","城市地点","2","初级","133-female.mp3","133-male.mp3","133-sentence-female.mp3","133-sentence-male.mp3"
"134","學校","hok6 haau6","学校","school","放學時間學校門口好多車。","fong3 hok6 si4 gaan3 hok6 haau6 mun4 hau2 hou2 do1 ce1","放学时间学校门口有很多车。","There are many cars outside the school at dismissal time.","城市地点","2","初级","134-female.mp3","134-male.mp3","134-sentence-female.mp3","134-sentence-male.mp3"
